"trip_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_community_area","dropoff_community_area","fare","tip","trip_total","shared_trip_authorized","trips_pooled"
"0334c963b64d54f5a7e50ded5a5cb8874b48050b",2019-06-30 23:30:00,2019-06-30 23:30:00,"330","1.2911883023","28","24","7.5","0","10.05","FALSE","1"
"03358481a335e769a1880433c3e8cd9341d216cd",2019-06-30 22:15:00,2019-06-30 22:30:00,"1715","7.0559012178","8","29","15","0","17.55","FALSE","1"
"033c021d6a26180dca7e5892f9a786d010b50c64",2019-06-30 22:15:00,2019-06-30 22:30:00,"768","3.6605443237","8","24","7.5","1","11.05","FALSE","1"
"033dd90a2c7315b59f1577162b599ae3efebbb54",2019-06-30 22:00:00,2019-06-30 22:30:00,"1853","26.5193301612","76","32","37.5","7","52.8","FALSE","1"
"03418497b2cb6c33747575be0318bbc86767d3b0",2019-06-30 23:00:00,2019-06-30 23:15:00,"372","1.039053659","8","8","5","4","11.55","FALSE","1"
"0346602cbdca2330b4dcf69cbc1c4b8bde50cf0d",2019-06-30 23:00:00,2019-06-30 23:00:00,"644","2.6678617901","24","7","15","0","17.55","FALSE","1"
"035be178cad6cc9fbcb9b5f2f6bf181954c1a5f6",2019-06-30 22:00:00,2019-06-30 22:15:00,"420","1.431996","28","8","5","0","5.72","TRUE","1"
"035f050f863d521a63f2bf9bc06c4eac17dde814",2019-06-30 23:00:00,2019-06-30 23:00:00,"596","2.9036489485","7","8","12.5","0","15.05","FALSE","1"
"0377cce342fdf0a194e85a6bcb6022f694c2134e",2019-06-30 23:30:00,2019-06-30 23:30:00,"206","0.569703184","8","8","7.5","0","10.35","FALSE","1"
"03816ae65639d4ea26f6d179df06d73a0f0f89c2",2019-06-30 23:45:00,2019-07-01 00:00:00,"868","3.2899497576","28","8","12.5","5","20.05","FALSE","1"
"0381b6e321557de1f38a4a2abf1bfc312a42aa1e",2019-06-30 22:15:00,2019-06-30 22:45:00,"1898","18.2052513496","8","76","25","7","39.55","FALSE","1"
"03a12a4a1e18d12e036af3f45d7f6f47bf2ef567",2019-06-30 22:15:00,2019-06-30 22:30:00,"633","2.3723758571","28","32","7.5","0","10.05","FALSE","1"
"03a8c9a8c2dd9ee826f28c86f5a489e584a00ea6",2019-06-30 22:00:00,2019-06-30 22:15:00,"542","3.1664351527","28","24","7.5","0","10.05","FALSE","1"
"03bdf01c9da41f12e3a26fec38733c9a813be111",2019-06-30 22:00:00,2019-06-30 22:15:00,"642","3.9967949569","28","22","7.5","0","10.05","FALSE","1"
